144,To LAX,2012-03-08 14:00:00,2012-03-02 18:08:54.672764,2012-03-02 18:10:05.252586,333,00:00:00
145,From LAX,2012-03-17 23:00:00,2012-03-02 18:14:01.776126,2012-03-02 18:14:22.993259,333,10:10:00
143,To LAX,2012-03-09 16:45:00,2012-03-02 16:55:46.818911,2012-03-02 19:23:12.073821,339,05:10:00
146,To Ontario,2012-03-09 22:30:00,2012-03-02 22:51:54.359239,2012-03-02 22:51:54.359239,258,13:00:00
179,To Ontario,2012-03-10 03:15:00,2012-03-07 00:05:48.117192,2012-03-07 00:05:48.117192,4,17:30:00
147,To LAX,2012-03-09 23:15:00,2012-03-03 18:56:34.604926,2012-03-03 18:59:19.403286,289,12:30:00
149,From Ontario,2012-03-17 19:45:00,2012-03-04 07:35:03.100174,2012-03-04 07:35:03.100174,206,23:34:00
150,To Ontario,2012-03-11 00:00:00,2012-03-04 07:37:24.864903,2012-03-04 07:37:24.864903,206,14:00:00
152,To LAX,2012-03-09 01:15:00,2012-03-04 09:14:54.602106,2012-03-04 09:15:31.427814,335,15:45:00
130,To LAX,2012-03-09 14:00:00,2012-02-08 07:31:58.830046,2012-03-08 02:14:47.896722,323,02:45:00
159,To LAX,2012-03-11 05:30:00,2012-03-05 06:07:31.315626,2012-03-05 06:07:31.315626,347,19:00:00
153,To Ontario,2012-03-10 04:45:00,2012-03-04 19:06:56.131939,2012-03-04 19:08:34.783265,32,19:00:00
154,From Ontario,2012-03-18 04:00:00,2012-03-04 19:09:53.152916,2012-03-04 19:09:53.152916,32,11:09:00
148,To LAX,2012-03-09 07:30:00,2012-03-03 21:59:59.727975,2012-03-04 21:18:16.680183,,20:30:00
160,To LAX,2012-03-08 17:45:00,2012-03-05 06:36:35.551598,2012-03-05 06:36:35.551598,349,06:20:00
161,To Ontario,2012-03-09 23:30:00,2012-03-05 06:56:55.197073,2012-03-05 06:57:11.09795,,14:30:00
162,To Ontario,2012-03-10 14:00:00,2012-03-05 08:05:42.971713,2012-03-05 08:05:42.971713,178,04:30:00
163,From LAX,2012-03-20 03:45:00,2012-03-05 09:08:51.209041,2012-03-05 09:08:51.209041,292,01:08:00
139,To LAX,2012-03-10 07:00:00,2012-03-01 21:26:03.626267,2012-03-08 05:25:30.795282,,19:00:00
165,From LAX,2012-03-15 18:15:00,2012-03-06 01:15:20.954569,2012-03-06 01:15:20.954569,116,17:14:00
166,To Ontario,2012-03-12 17:30:00,2012-03-06 01:20:54.603593,2012-03-06 01:20:54.603593,354,09:15:00
167,From Ontario,2012-03-18 06:15:00,2012-03-06 01:21:55.247008,2012-03-06 01:21:55.247008,354,17:21:00
168,To LAX,2012-03-09 09:00:00,2012-03-06 02:18:36.943624,2012-03-06 02:18:36.943624,355,11:00:00
170,From LAX,2012-03-19 01:00:00,2012-03-06 03:47:10.780041,2012-03-06 03:47:10.780041,140,19:46:00
171,From LAX,2012-03-19 03:00:00,2012-03-06 05:18:37.447122,2012-03-06 05:18:37.447122,358,21:17:00
172,From LAX,2012-03-19 06:30:00,2012-03-06 05:42:13.620217,2012-03-06 05:42:13.620217,70,21:41:00
173,To LAX,2012-03-08 23:45:00,2012-03-06 07:05:34.992595,2012-03-06 07:05:34.992595,361,12:30:00
174,From LAX,2012-03-17 03:15:00,2012-03-06 07:21:26.381528,2012-03-06 07:21:26.381528,361,23:21:00
176,To Ontario,2012-03-10 18:00:00,2012-03-06 18:55:06.150411,2012-03-06 18:55:06.150411,364,08:30:00
178,To Ontario,2012-03-09 14:00:00,2012-03-06 20:39:05.703424,2012-03-06 20:39:12.763093,365,04:30:00
175,To Ontario,2012-03-09 14:30:00,2012-03-06 15:30:08.899232,2012-03-07 00:00:55.492401,,05:00:00
180,From LAX,2012-03-13 05:30:00,2012-03-07 00:29:09.404628,2012-03-07 00:29:09.404628,369,23:00:00
181,From LAX,2012-03-14 23:45:00,2012-03-07 04:51:41.462927,2012-03-07 04:51:41.462927,86,20:51:00
141,To Ontario,2012-03-10 19:30:00,2012-03-01 23:13:25.01094,2012-03-07 05:06:13.06034,,10:15:00
151,To Ontario,2012-03-10 01:30:00,2012-03-04 09:04:05.459302,2012-03-07 19:26:37.117511,,16:00:00
169,To Ontario,2012-03-10 15:15:00,2012-03-06 02:50:53.515141,2012-03-08 00:53:58.982337,,05:45:00
183,To LAX,2012-03-09 15:30:00,2012-03-07 23:43:20.702576,2012-03-08 01:26:40.490533,,04:30:00
184,From LAX,2012-03-19 02:15:00,2012-03-08 07:36:51.055153,2012-03-08 07:37:16.870419,,16:00:00
185,To LAX,2012-03-10 06:15:00,2012-03-08 09:21:21.50176,2012-03-08 09:21:21.50176,383,18:30:00
177,To Ontario,2012-03-10 22:00:00,2012-03-06 20:01:37.531509,2012-03-08 22:33:57.223441,,12:00:00
182,From Ontario,2012-03-17 17:15:00,2012-03-07 17:06:18.481612,2012-03-08 22:34:12.592987,,09:05:00
186,From Ontario,2012-03-18 21:30:00,2012-03-08 23:37:07.821022,2012-03-08 23:37:07.821022,388,15:36:00
187,To Ontario,2012-03-10 18:00:00,2012-03-09 00:03:30.330986,2012-03-09 00:03:30.330986,389,08:30:00
188,From Ontario,2012-03-18 07:00:00,2012-03-09 00:05:00.512698,2012-03-09 00:05:00.512698,389,16:03:00
189,To LAX,2012-03-10 15:00:00,2012-03-09 03:55:33.440172,2012-03-09 03:55:33.440172,393,05:00:00
158,To LAX,2012-03-10 17:45:00,2012-03-05 03:27:52.562921,2012-03-09 18:12:49.577278,,08:00:00
190,To Ontario,2012-03-13 14:00:00,2012-03-10 08:21:17.537561,2012-03-10 08:21:17.537561,401,06:00:00
191,To LAX,2012-03-18 20:45:00,2012-03-12 08:57:51.524303,2012-03-12 09:00:58.777134,,14:00:00
192,From Ontario,2012-03-18 04:45:00,2012-03-13 16:20:49.514134,2012-03-13 16:20:49.514134,258,09:19:00
193,From LAX,2012-03-18 03:15:00,2012-03-15 00:34:22.550725,2012-03-15 00:34:22.550725,229,17:33:00
194,From LAX,2012-03-19 04:15:00,2012-03-15 18:47:50.480448,2012-03-15 18:47:50.480448,405,11:47:00
195,From Ontario,2012-03-17 22:30:00,2012-03-16 04:20:41.368331,2012-03-16 04:20:41.368331,280,21:20:00
196,From Ontario,2012-03-17 21:45:00,2012-03-16 04:47:54.996733,2012-03-16 04:47:54.996733,402,21:46:00
198,From Ontario,2012-03-18 03:00:00,2012-03-16 18:40:19.298438,2012-03-16 18:40:19.298438,407,11:39:00
199,From Ontario,2012-03-19 04:00:00,2012-03-16 21:09:50.664354,2012-03-16 21:09:50.664354,209,14:07:00
262,To Ontario,2012-05-14 02:45:00,2012-05-08 22:30:30.021985,2012-05-08 22:30:30.021985,446,06:20:00
200,From Ontario,2012-03-17 17:30:00,2012-03-17 00:16:57.346131,2012-03-17 00:23:42.692355,242,11:00:00
201,From LAX,2012-03-19 02:00:00,2012-03-17 01:14:42.012391,2012-03-17 01:14:42.012391,130,18:14:00
202,From Ontario,2012-03-16 19:00:00,2012-03-17 01:48:17.48972,2012-03-17 01:48:17.48972,409,18:47:00
203,From Ontario,2012-03-17 19:00:00,2012-03-17 01:50:26.715698,2012-03-17 01:50:26.715698,409,18:50:00
204,To Ontario,2012-04-06 13:00:00,2012-03-17 01:59:08.712098,2012-03-17 01:59:08.712098,410,04:45:00
205,From Ontario,2012-04-09 04:15:00,2012-03-17 02:00:19.596065,2012-03-17 02:00:19.596065,410,18:59:00
206,From Ontario,2012-03-19 00:30:00,2012-03-17 02:09:34.239921,2012-03-17 02:09:34.239921,411,19:08:00
256,To LAX,2012-05-12 17:30:00,2012-05-08 20:11:58.110252,2012-05-09 05:27:15.089367,,08:00:00
263,To Ontario,2012-05-13 19:30:00,2012-05-09 07:24:30.262102,2012-05-09 07:24:30.262102,176,11:00:00
264,To Ontario,2012-05-13 18:45:00,2012-05-09 08:20:33.455499,2012-05-09 08:20:33.455499,374,10:00:00
207,From LAX,2012-03-18 20:30:00,2012-03-17 03:19:43.881677,2012-03-17 03:21:17.27647,108,02:15:00
140,From LAX,2012-03-18 21:45:00,2012-03-01 21:37:26.806374,2012-03-17 12:42:20.840942,,13:37:00
208,From Ontario,2012-03-19 07:15:00,2012-03-17 13:45:42.165972,2012-03-17 13:45:42.165972,93,06:44:00
209,From LAX,2012-03-18 07:00:00,2012-03-17 15:49:31.657039,2012-03-17 15:49:31.657039,415,08:48:00
210,From Ontario,2012-03-18 17:45:00,2012-03-17 20:22:21.979129,2012-03-17 20:22:21.979129,380,13:21:00
211,From Ontario,2012-03-18 22:45:00,2012-03-17 23:20:49.113746,2012-03-17 23:20:49.113746,418,16:20:00
212,From Ontario,2012-03-18 16:30:00,2012-03-18 01:38:23.635423,2012-03-18 01:38:23.635423,420,18:37:00
197,From LAX,2012-03-18 19:30:00,2012-03-16 04:49:07.397307,2012-03-18 02:00:11.983444,,21:48:00
213,From Ontario,2012-03-18 21:45:00,2012-03-18 14:42:07.340237,2012-03-18 14:42:07.340237,422,07:41:00
214,From LAX,2012-03-19 19:00:00,2012-03-19 00:19:43.315503,2012-03-19 00:19:43.315503,368,17:19:00
215,From Ontario,2012-03-19 17:15:00,2012-03-19 02:10:19.253501,2012-03-19 02:10:19.253501,142,19:08:00
265,To Ontario,2012-05-10 13:15:00,2012-05-09 20:57:13.020636,2012-05-09 20:57:13.020636,82,16:15:00
217,To Ontario,2012-04-06 00:00:00,2012-03-19 23:34:23.805232,2012-03-19 23:34:23.805232,323,03:50:00
216,To LAX,2012-05-12 22:45:00,2012-03-19 04:07:30.216725,2012-03-25 23:20:11.16895,361,12:00:00
218,To LAX,2012-04-05 18:30:00,2012-04-04 17:37:44.728814,2012-04-04 17:37:44.728814,424,09:00:00
219,To Ontario,2012-04-12 18:00:00,2012-04-12 07:05:30.24348,2012-04-12 07:05:42.949236,,10:04:00
221,To LAX,2012-05-13 04:30:00,2012-04-21 05:54:06.655303,2012-04-21 05:54:06.655303,51,18:30:00
222,To LAX,2012-05-11 15:00:00,2012-04-21 06:12:28.810459,2012-04-21 06:12:28.810459,427,04:00:00
223,To LAX,2012-05-12 15:15:00,2012-04-24 05:26:26.591001,2012-04-24 05:26:26.591001,70,05:00:00
224,To LAX,2012-05-09 09:45:00,2012-04-24 05:56:30.312517,2012-04-24 05:56:30.312517,62,11:00:00
225,To LAX,2012-05-12 18:00:00,2012-04-25 18:11:22.514583,2012-04-25 18:11:22.514583,428,06:00:00
226,To Ontario,2012-05-14 18:15:00,2012-04-25 18:36:19.991074,2012-04-25 18:36:19.991074,343,09:30:00
227,To Ontario,2012-05-11 19:30:00,2012-04-25 21:23:21.191033,2012-04-25 21:23:21.191033,407,11:00:00
228,To Ontario,2012-05-09 15:00:00,2012-04-26 04:23:10.90601,2012-04-26 04:28:02.293537,,06:30:00
229,To Ontario,2012-05-12 01:00:00,2012-04-26 04:30:19.03468,2012-04-26 04:30:19.03468,130,04:30:00
230,To LAX,2012-05-12 06:15:00,2012-04-27 00:22:47.133891,2012-04-27 00:22:47.133891,68,20:00:00
231,To LAX,2012-05-14 18:30:00,2012-04-27 07:57:26.896466,2012-04-27 07:57:26.896466,333,09:00:00
232,To Ontario,2012-05-12 14:30:00,2012-04-27 23:14:24.150146,2012-04-27 23:14:24.150146,334,05:45:00
233,To LAX,2012-05-12 16:45:00,2012-04-30 02:12:52.092545,2012-04-30 02:12:52.092545,348,06:15:00
